restaurant_id,name,category,price_tier,neighborhood,opening_hours,closing_hours,good_for_kids
1,"Runte, Abbott and Vandervort",Latvian,Expensive,Hamilton Heights,9:00,22:00,FALSE
2,Daniel-McDermott,Azerbaijani,Expensive,West Village,9:00,22:00,FALSE
3,"Volkman, Will and Jaskolski",Thai,Cheap,Gramercy,9:00,22:00,FALSE
4,"Russel, Bogisich and Yundt",Iranian,Medium,Gramercy,9:00,22:00,FALSE
5,"Swift, Klein and Bode",Belgian,Medium,Upper West Side,9:00,22:00,TRUE
6,"Bednar, Prosacco and Shanahan",Spanish,Expensive,Coney Island,9:00,22:00,FALSE
7,Botsford-Stamm,Slovak,Cheap,Little Italy,9:00,22:00,FALSE
8,Goyette LLC,Georgian,Cheap,Upper West Side,9:00,22:00,FALSE
9,"Kessler, Jones and Lindgren",Portuguese,Expensive,East Village,9:00,22:00,TRUE
10,"Farrell, Schumm and Wilderman",Qatari,Medium,East Harlem,9:00,22:00,FALSE
11,Rolfson-D'Amore,Ghanaian,Medium,West Village,9:00,22:00,FALSE
12,Leuschke Inc,Estonian,Expensive,Tribeca,9:00,22:00,TRUE
13,Rohan-Shields,Peruvian,Expensive,Chinatown,9:00,22:00,FALSE
14,"Bogisich, Jacobs and Schmeler",German,Expensive,Long Island City,9:00,22:00,TRUE
15,D'Amore-Effertz,Filipino,Expensive,Sutton Place,9:00,22:00,TRUE
16,Dooley Inc,Ukrainian,Medium,Financial District,9:00,22:00,FALSE
17,Pagac-Harris,Italian,Expensive,Chelsea,9:00,22:00,TRUE
18,Russel-Howe,Ghanaian,Cheap,Murray Hill,9:00,22:00,FALSE
19,"Rosenbaum, Jerde and Kovacek",Finnish,Expensive,Forest Hills,9:00,22:00,TRUE
20,Boyle-Beier,Bangladeshi,Cheap,Greenpoint,9:00,22:00,FALSE
21,Huel-Rohan,Filipino,Cheap,Crown Heights,9:00,22:00,TRUE
22,Veum-Ernser,Saudi Arabian,Medium,Flushing,9:00,22:00,TRUE
23,Dietrich-Littel,Bangladeshi,Expensive,Flatbush,9:00,22:00,FALSE
24,Runolfsson Inc,Bulgarian,Expensive,Flatiron District,9:00,22:00,TRUE
25,Schulist LLC,Croatian,Expensive,Harlem,9:00,22:00,TRUE
26,Bogisich Group,Uzbek,Expensive,Elmhurst,9:00,22:00,FALSE
27,Ritchie and Sons,Russian,Medium,Upper East Side,9:00,22:00,TRUE
28,Wehner LLC,Pakistani,Cheap,Jamaica,9:00,22:00,TRUE
29,Padberg LLC,Moroccan,Cheap,Greenwich Village,9:00,22:00,FALSE
30,"Collier, Monahan and Gleason",Kyrgyz,Cheap,Gramercy,9:00,22:00,FALSE
31,Baumbach Group,Icelandic,Cheap,East Harlem,9:00,22:00,FALSE
32,"Langworth, Nitzsche and Bauch",Qatari,Medium,Greenpoint,9:00,22:00,FALSE
33,Koepp Group,French,Medium,Washington Heights,9:00,22:00,FALSE
34,Kuhn-Koss,Filipino,Expensive,Woodside,9:00,22:00,FALSE
35,"Bogisich, Jenkins and Moen",South African,Medium,Coney Island,9:00,22:00,FALSE
36,"Gleason, Hagenes and Grimes",Turkish,Medium,NoHo,9:00,22:00,TRUE
37,Altenwerth Inc,Argentine,Medium,Financial District,9:00,22:00,TRUE
38,Welch-Howe,Mongolian,Medium,Lower Manhattan,9:00,22:00,TRUE
39,Ebert Inc,Danish,Cheap,Elmhurst,9:00,22:00,TRUE
40,Baumbach-Herzog,Norwegian,Expensive,Jackson Heights,9:00,22:00,FALSE
41,Wolf Group,Bahraini,Cheap,Flushing,9:00,22:00,TRUE
42,Marquardt LLC,Latvian,Expensive,Bayside,9:00,22:00,TRUE
43,"Jacobson, Price and Thompson",Kyrgyz,Medium,Hamilton Heights,9:00,22:00,FALSE
44,Bernier-Kshlerin,Slovenian,Medium,Sutton Place,9:00,22:00,TRUE
45,"Schimmel, Hansen and Jacobs",Italian,Medium,Kips Bay,9:00,22:00,FALSE
46,Grant-Kuhlman,Czech,Cheap,Flushing,9:00,22:00,FALSE
47,Gulgowski-Johnston,Japanese,Medium,Elmhurst,9:00,22:00,FALSE
48,Stracke-O'Hara,Argentine,Medium,Gramercy,9:00,22:00,TRUE
49,Hoeger-Mayert,Jordanian,Expensive,Washington Heights,9:00,22:00,FALSE
50,Schaefer and Sons,French,Expensive,East Village,9:00,22:00,FALSE
51,Streich-Rempel,South African,Cheap,East Village,9:00,22:00,TRUE
52,Hettinger and Sons,Uzbek,Medium,Flatiron District,9:00,22:00,FALSE
53,"Bednar, Johns and Klocko",Swedish,Expensive,Bensonhurst,9:00,22:00,TRUE
54,"Fadel, Homenick and Leannon",Polish,Medium,Financial District,9:00,22:00,FALSE
55,Nikolaus Group,Swiss,Expensive,Kips Bay,9:00,22:00,TRUE
56,Adams-Abernathy,Moroccan,Cheap,Prospect Heights,9:00,22:00,TRUE
57,Wyman and Sons,Caribbean,Cheap,East Harlem,9:00,22:00,TRUE
58,Marks-Ortiz,Spanish,Cheap,Little Italy,9:00,22:00,TRUE
59,Mayer-Kutch,South African,Cheap,Flushing,9:00,22:00,FALSE
60,Frami Inc,Lithuanian,Expensive,Rego Park,9:00,22:00,FALSE
61,Corkery LLC,Swedish,Medium,Bensonhurst,9:00,22:00,FALSE
62,Nicolas Inc,Japanese,Cheap,Hamilton Heights,9:00,22:00,TRUE
63,MacGyver-Hodkiewicz,Thai,Medium,Jamaica,9:00,22:00,TRUE
64,"Swift, Parker and Johnson",German,Medium,West Village,9:00,22:00,FALSE
65,Schmitt Inc,Lebanese,Expensive,Hamilton Heights,9:00,22:00,TRUE
66,Welch LLC,Kyrgyz,Medium,Greenwich Village,9:00,22:00,FALSE
67,Boehm LLC,Polish,Medium,Sunnyside,9:00,22:00,TRUE
68,Johnston Inc,Finnish,Expensive,Sunnyside,9:00,22:00,TRUE
69,Bradtke-Feil,Georgian,Medium,Greenwich Village,9:00,22:00,FALSE
70,Orn and Sons,Mongolian,Medium,Upper West Side,9:00,22:00,TRUE
71,Kuhlman and Sons,Malaysian,Medium,Greenwich Village,9:00,22:00,TRUE
72,Hills-Crooks,Ethiopian,Cheap,Midtown,9:00,22:00,FALSE
73,"Daugherty, Waelchi and Spinka",Emirati,Expensive,Sutton Place,9:00,22:00,FALSE
74,Pfeffer LLC,South African,Cheap,Kips Bay,9:00,22:00,TRUE
75,"Hintz, Stoltenberg and Kirlin",Moroccan,Cheap,Prospect Heights,9:00,22:00,TRUE
76,Zemlak-Witting,Nepali,Cheap,Gramercy,9:00,22:00,TRUE
